"estacao","estacao.nome","cidade","estado","regiao","situacao","latitude","longitude","altitude"
"A422","ABROLHOS","ABROLHOS","BA","Nordeste","Pane",-17.96305555,-38.70333333,20.93
"A360","ACARAU","ACARAU","CE","Nordeste","Pane",-3.1211111,-40.08722221,67.15
"A657","AFONSO CLAUDIO","AFONSO CLAUDIO","ES","Sudeste","Operante",-20.10416666,-41.10694444,507.48
"A908","AGUA BOA","AGUA BOA","MT","Centro-oeste","Operante",-14.01638888,-52.21166666,440
"A756","AGUA CLARA","AGUA CLARA","MS","Centro-oeste","Operante",-20.44444444,-52.87583332,323.63
"A045","AGUAS EMENDADAS","AGUAS EMENDADAS","DF","Centro-oeste","Operante",-15.596491,-47.625801,1030.36
"A549","AGUAS VERMELHAS","AGUAS VERMELHAS","MG","Sudeste","Operante",-15.75166666,-41.45777777,754.07
"A534","AIMORES","AIMORES","MG","Sudeste","Operante",-19.53277777,-41.09083333,301
"A617","ALEGRE","ALEGRE","ES","Sudeste","Operante",-20.75055555,-41.48888888,138
"A826","ALEGRETE","ALEGRETE","RS","Sul","Operante",-29.70916666,-55.52555554,120.88
"A615","ALFREDO CHAVES","ALFREDO CHAVES","ES","Sudeste","Operante",-20.63638888,-40.74194444,14.19
"A053","ALMAS","ALMAS","TO","Norte","Operante",-11.28416666,-47.21222222,503
"A508","ALMENARA","ALMENARA","MG","Sudeste","Operante",-16.16666666,-40.68777777,189.11
"A924","ALTA FLORESTA","ALTA FLORESTA","MT","Centro-oeste","Operante",-10.07722221,-56.17916666,291.85
"A253","ALTAMIRA","ALTAMIRA","PA","Norte","Operante",-3.26999999,-52.39472221,191
"A909","ALTO ARAGUAIA","ALTO ARAGUAIA","MT","Centro-oeste","Operante",-17.33944444,-53.22444443,753.28
"A024","ALTO PARAISO DE GOIAS","ALTO PARAISO DE GOIAS","GO","Centro-oeste","Operante",-14.13305554,-47.52333332,1264.7
"A223","ALTO PARNAIBA","ALTO PARNAIBA","MA","Nordeste","Operante",-9.10833333,-45.93194443,283.69
"A934","ALTO TAQUARI","ALTO TAQUARI","MT","Centro-oeste","Operante",-17.8411111,-53.28944444,862.42
"A336","ALVORADA DO GURGUEIA","ALVORADA DO GURGUEIA","PI","Nordeste","Operante",-8.37638888,-43.85944444,225
"A750","AMAMBAI","AMAMBAI","MS","Centro-oeste","Operante",-23.0025,-55.32944443,433.59
"A434","AMARGOSA","AMARGOSA","BA","Nordeste","Operante",-13.00944444,-39.61694443,397.8
"A377","ANGICAL DO PIAUI","ANGICAL DO PIAUI","PI","Nordeste","Pane",-6.08944444,-42.72749999,183
"A628","ANGRA DOS REIS","ANGRA DOS REIS","RJ","Sudeste","Pane",-22.97555554,-44.30333333,6
"A910","APIACAS","APIACAS","MT","Centro-oeste","Pane",-9.56333333,-57.3936111,217.75
"A340","APODI","APODI","RN","Nordeste","Pane",-5.62666666,-37.815,131.41
"A113","APUI","APUI","AM","Norte","Operante",-7.20555555,-59.8886111,156.97
"A719","AQUIDAUANA","AQUIDAUANA","MS","Centro-oeste","Operante",-20.47555554,-55.78388888,151.35
"A409","ARACAJU","ARACAJU","SE","Nordeste","Operante",-10.9525,-37.05444444,3.72
"A566","ARACUAI","ARACUAI","MG","Sudeste","Operante",-16.84888888,-42.03527777,308
"A013","ARAGARCAS","ARAGARCAS","GO","Centro-oeste","Operante",-15.90277777,-52.24527777,327.35
"A054","ARAGUACU","ARAGUACU","TO","Norte","Operante",-12.59222221,-49.5286111,231
"A021","ARAGUAINA","ARAGUAINA","TO","Norte","Operante",-7.10388888,-48.20111111,230.76
"A044","ARAGUATINS","ARAGUATINS","TO","Norte","Operante",-5.6436111,-48.11194444,130.71
"A353","ARAPIRACA","ARAPIRACA","AL","Nordeste","Operante",-9.80444444,-36.61916666,236.84
"A867","ARARANGUA","ARARANGUA","SC","Sul","Operante",-28.931353,-49.49792,2
"A505","ARAXA","ARAXA","MG","Sudeste","Operante",-19.60583333,-46.94972221,1018.32
"A309","ARCO VERDE","ARCO VERDE","PE","Nordeste","Operante",-8.4336111,-37.05555555,683.95
"A310","AREIA","AREIA","PB","Nordeste","Operante",-6.975451,-35.718128,573.45
"A940","ARIQUEMES","ARIQUEMES","RO","Norte","Pane",-9.94888888,-62.96194444,128.44
"A736","ARIRANHA","ARIRANHA","SP","Sudeste","Operante",-21.13305554,-48.84055555,525.44
"A606","ARRAIAL DO CABO","ARRAIAL DO CABO","RJ","Sudeste","Operante",-22.97527777,-42.02138888,5
"A120","AUTAZES","AUTAZES","AM","Norte","Pane",-3.58333333,-59.12944443,19.9
"A725","AVARE","AVARE","SP","Sudeste","Operante",-23.10166666,-48.9411111,776.36
"A220","BACABAL","BACABAL","MA","Nordeste","Operante",-4.24305555,-44.79499999,22.33
"A827","BAGE","BAGE","RS","Sul","Operante",-31.34777777,-54.01333333,226.19
"A375","BAIXA GRANDE DO RIBEIRO","BAIXA GRANDE DO RIBEIRO","PI","Nordeste","Operante",-8.333531,-45.094625,519
"A204","BALSAS","BALSAS","MA","Nordeste","Pane",-7.45555555,-46.02749999,271.03
"A565","BAMBUI","BAMBUI","MG","Sudeste","Pane",-20.0311111,-46.00888888,697
"A502","BARBACENA","BARBACENA","MG","Sudeste","Operante",-21.22833332,-43.76777777,1168.76
"A315","BARBALHA","BARBALHA","CE","Nordeste","Pane",-7.30083333,-39.2711111,409.41
"A128","BARCELOS","BARCELOS","AM","Norte","Operante",-0.98722221,-62.92416666,29.88
"A429","BARRA","BARRA","BA","Nordeste","Operante",-11.08472221,-43.13888888,407.5
"A741","BARRA BONITA","BARRA BONITA","SP","Sudeste","Operante",-22.4711111,-48.5575,533.68
"A221","BARRA DO CORDA","BARRA DO CORDA","MA","Nordeste","Pane",-5.50666666,-45.23694444,154.19
"A746","BARRA DO TURVO","BARRA DO TURVO","SP","Sudeste","Operante",-24.96277777,-48.41638888,659.89
"A402","BARREIRAS","BARREIRAS","BA","Nordeste","Operante",-12.12472221,-45.02694443,474.17
"A748","BARRETOS","BARRETOS","SP","Sudeste","Pane",-20.55916666,-48.54499999,534.36
"A755","BARUERI","BARUERI","SP","Sudeste","Operante",-23.52388888,-46.86944443,776.5
"A759","BATAGUASSU","BATAGUASSU","MS","Centro-oeste","Operante",-21.75,-52.47138888,392.13
"A705","BAURU","BAURU","SP","Sudeste","Operante",-22.35805555,-49.02888888,636.17
"A764","BEBEDOURO","BEBEDOURO","SP","Sudeste","Operante",-20.94805555,-48.47138888,542
"A201","BELEM","BELEM","PA","Norte","Operante",-1.411228,-48.439512,21.17
"A447","BELMONTE","BELMONTE","BA","Nordeste","Operante",-16.08805555,-39.21527777,89.67
"A521","BELO HORIZONTE (PAMPULHA)","BELO HORIZONTE","MG","Sudeste","Operante",-19.88388888,-43.96944443,854.02
"F501","BELO HORIZONTE - CERCADINHO"," CERCADINHO","MG","Sudeste","Operante",-19.97999999,-43.95861111,1199.55
"A840","BENTO GONCALVES","BENTO GONCALVES","RS","Sul","Operante",-29.164581,-51.534202,623.27
"A765","BERTIOGA","BERTIOGA","SP","Sudeste","Operante",-23.84472221,-46.14333333,5
"A135","BOA VISTA","BOA VISTA","RR","Norte","Operante",2.81694443,-60.69083333,82.35
"A110","BOCA DO ACRE","BOCA DO ACRE","AM","Norte","Operante",-8.77666666,-67.33249999,111.98
"A845","BOM JARDIM DA SERRA - MORRO DA IGREJA"," MORRO DA IGREJA","SC","Sul","Operante",-28.12694443,-49.47972221,1790.38
"A418","BOM JESUS DA LAPA","BOM JESUS DA LAPA","BA","Nordeste","Pane",-13.25111111,-43.40527777,447.75
"A326","BOM JESUS DO PIAUI","BOM JESUS DO PIAUI","PI","Nordeste","Operante",-9.07999999,-44.32777777,288
"A226","BRAGANCA","BRAGANCA","PA","Norte","Operante",-1.05583333,-46.78277777,5.6
"A744","BRAGANCA PAULISTA","BRAGANCA PAULISTA","SP","Sudeste","Operante",-22.94916666,-46.5261111,891
"A001","BRASILIA","BRASILIA","DF","Centro-oeste","Operante",-15.78944444,-47.92583332,1160.96
"A927","BRASNORTE (NOVO MUNDO)","BRASNORTE","MT","Centro-oeste","Operante",-12.52194443,-58.23138888,426.2
"A042","BRAZLANDIA","BRAZLANDIA","DF","Centro-oeste","Operante",-15.59972221,-48.1311111,1143
"A421","BREJO GRANDE","BREJO GRANDE","SE","Nordeste","Operante",-10.47388888,-36.48194443,6.11
"A228","BREVES","BREVES","PA","Norte","Pane",-1.68027777,-50.47805554,11
"A433","BRUMADO","BRUMADO","BA","Nordeste","Operante",-14.18194443,-41.67222221,473.37
"A238","BURITICUPU","BURITICUPU","MA","Nordeste","Operante",-4.32055554,-46.44944444,174.91
"A432","BURITIRAMA","BURITIRAMA","BA","Nordeste","Pane",-10.72305554,-43.65111111,506.06
"A544","BURITIS","BURITIS","MG","Sudeste","Operante",-15.52416666,-46.43555555,894
"A348","CABACEIRAS","CABACEIRAS","PB","Nordeste","Pane",-7.48333333,-36.28638888,391.96
"A329","CABROBO","CABROBO","PE","Nordeste","Operante",-8.50388888,-39.31527777,342.74
"A859","CACADOR","CACADOR","SC","Sul","Pane",-26.81916666,-50.98555555,944.26
"A812","CACAPAVA DO SUL","CACAPAVA DO SUL","RS","Sul","Operante",-30.54527777,-53.46694443,420.82
"A769","CACHOEIRA PAULISTA","CACHOEIRA PAULISTA","SP","Sudeste","Operante",-22.68888888,-45.00555555,586
"A939","CACOAL","CACOAL","RO","Norte","Operante",-11.44583333,-61.43416666,183.53
"A023","CAIAPONIA","CAIAPONIA","GO","Centro-oeste","Operante",-16.96694443,-51.81749999,740.1
"A316","CAICO","CAICO","RN","Nordeste","Operante",-6.46749999,-37.08499999,171.26
"A344","CALCANHAR","CALCANHAR","RN","Nordeste","Operante",-5.16,-35.48749999,9.82
"A530","CALDAS","CALDAS","MG","Sudeste","Operante",-21.918066,-46.382996,1077.34
"A838","CAMAQUA","CAMAQUA","RS","Sul","Operante",-30.80805555,-51.83416666,92.3
"A352","CAMARATUBA","CAMARATUBA","PB","Nordeste","Operante",-6.56194444,-35.13527777,135.51
"A897","CAMBARA DO SUL","CAMBARA DO SUL","RS","Sul","Operante",-29.04916666,-50.14972221,1017
"A604","CAMBUCI","CAMBUCI","RJ","Sudeste","Pane",-21.58749999,-41.95833333,46
"A236","CAMETA","CAMETA","PA","Norte","Pane",-2.23972221,-49.49972221,9.92
"B803","CAMPINA DA LAGOA","CAMPINA DA LAGOA","PR","Sul","Operante",-24.57083332,-52.80027777,598
"A313","CAMPINA GRANDE","CAMPINA GRANDE","PB","Nordeste","Operante",-7.22555554,-35.90472222,546.17
"A519","CAMPINA VERDE","CAMPINA VERDE","MG","Sudeste","Operante",-19.53921,-49.518133,559.07
"A884","CAMPO BOM","CAMPO BOM","RS","Sul","Operante",-29.674293,-51.064042,23.35
"A702","CAMPO GRANDE","CAMPO GRANDE","MS","Centro-oeste","Operante",-20.44722221,-54.72249999,528.47
"A376","CAMPO MAIOR","CAMPO MAIOR","PI","Nordeste","Operante",-4.86416666,-42.14555555,125
"A905","CAMPO NOVO DOS PARECIS","CAMPO NOVO DOS PARECIS","MT","Centro-oeste","Pane",-13.78583333,-57.8386111,525.41
"A912","CAMPO VERDE","CAMPO VERDE","MT","Centro-oeste","Operante",-15.55888888,-55.17944443,747
"A706","CAMPOS DO JORDAO","CAMPOS DO JORDAO","SP","Sudeste","Operante",-22.75027777,-45.60388888,1662.95
"A607","CAMPOS DOS GOYTACAZES","CAMPOS DOS GOYTACAZES","RJ","Sudeste","Operante",-21.71472222,-41.34388888,17
"A620","CAMPOS DOS GOYTACAZES - SAO TOME"," SAO TOME","RJ","Sudeste","Operante",-22.04166666,-41.05166666,7
"A043","CAMPOS LINDOS","CAMPOS LINDOS","TO","Norte","Pane",-8.15472222,-46.63944444,426.56
"A898","CAMPOS NOVOS","CAMPOS NOVOS","SC","Sul","Operante",-27.3886111,-51.21583333,963
"A347","CAMPOS SALES","CAMPOS SALES","CE","Nordeste","Pane",-7.07777777,-40.36277777,577.95
"A879","CANELA","CANELA","RS","Sul","Operante",-29.36888888,-50.82722221,830.93
"A811","CANGUCU","CANGUCU","RS","Sul","Operante",-31.40333333,-52.70083333,446.81
"A365","CANTO DO BURITI","CANTO DO BURITI","PI","Nordeste","Operante",-8.11805554,-42.97583332,312.07
"A887","CAPAO DO LEAO (PELOTAS)","CAPAO DO LEAO","RS","Sul","Operante",-31.8025,-52.40722222,13
"A541","CAPELINHA","CAPELINHA","MG","Sudeste","Operante",-17.70555555,-42.38916666,932.06
"A248","CAPITAO POCO","CAPITAO POCO","PA","Norte","Operante",-1.73472221,-47.0575,79.1
"A337","CARACOL","CARACOL","PI","Nordeste","Pane",-9.28583333,-43.32444443,515.3
"A554","CARATINGA","CARATINGA","MG","Sudeste","Operante",-19.73583333,-42.13722221,609.25
"A405","CARAVELAS","CARAVELAS","BA","Nordeste","Operante",-17.73944444,-39.25861111,6.05
"A926","CARLINDA","CARLINDA","MT","Centro-oeste","Pane",-9.97055554,-55.82749999,293.71
"A629","CARMO","CARMO","RJ","Sudeste","Operante",-21.9386111,-42.60083333,293
"A205","CAROLINA","CAROLINA","MA","Nordeste","Operante",-7.33722221,-47.45972222,182.88
"A341","CARUARU","CARUARU","PE","Nordeste","Operante",-8.36527777,-36.02833332,852
"A738","CASA BRANCA","CASA BRANCA","SP","Sudeste","Operante",-21.78055554,-47.07527777,734.15
"A742","CASSILANDIA","CASSILANDIA","MS","Centro-oeste","Operante",-19.12249999,-51.72083332,494.72
"A202","CASTANHAL","CASTANHAL","PA","Norte","Operante",-1.30083333,-47.94805555,47.13
"A361","CASTELO DO PIAUI","CASTELO DO PIAUI","PI","Nordeste","Operante",-5.34916666,-41.51222222,268.75
"A819","CASTRO","CASTRO","PR","Sul","Pane",-24.77999999,-50.04638888,1016
"A034","CATALAO","CATALAO","GO","Centro-oeste","Operante",-18.154779,-47.927614,900.72
"A237","CAXIAS","CAXIAS","MA","Nordeste","Operante",-4.82138888,-43.3436111,84.85
"A548","CHAPADA GAUCHA","CHAPADA GAUCHA","MG","Sudeste","Pane",-15.30027777,-45.61749999,873.2
"A730","CHAPADAO DO SUL","CHAPADAO DO SUL","MS","Centro-oeste","Operante",-18.80222222,-52.6025,820.82
"A206","CHAPADINHA","CHAPADINHA","MA","Nordeste","Operante",-3.74277777,-43.35222222,104
"A895","CHAPECO","CHAPECO","SC","Sul","Operante",-27.0853111,-52.6357111,679
"A869","CIDADE GAUCHA","CIDADE GAUCHA","PR","Sul","Operante",-23.35916666,-52.93194443,365.79
"A876","CLEVELANDIA","CLEVELANDIA","PR","Sul","Operante",-26.41722221,-52.3486111,966.06
"A117","COARI","COARI","AM","Norte","Operante",-4.09749999,-63.14527777,33.84
"A222","COLINAS","COLINAS","MA","Nordeste","Operante",-6.03305554,-44.23333333,175.37
"A049","COLINAS DO TOCANTINS","COLINAS DO TOCANTINS","TO","Norte","Operante",-8.092708,-48.478605,200
"B806","COLOMBO","COLOMBO","PR","Sul","Operante",-25.322464,-49.157733,950
"A913","COMODORO","COMODORO","MT","Centro-oeste","Pane",-13.70805555,-59.7625,576.87
"A520","CONCEICAO DAS ALAGOAS","CONCEICAO DAS ALAGOAS","MG","Sudeste","Operante",-19.98583333,-48.15166666,572.54
"A241","CONCEICAO DO ARAGUAIA","CONCEICAO DO ARAGUAIA","PA","Norte","Operante",-8.30361111,-49.28277777,175.74
"A431","CONDE","CONDE","BA","Nordeste","Operante",-12.03583333,-37.68388888,31.9
"A557","CORONEL PACHECO","CORONEL PACHECO","MG","Sudeste","Operante",-21.54666666,-43.26111111,411.14
"A374","CORRENTE","CORRENTE","PI","Nordeste","Operante",-10.42916666,-45.17305554,452
"A416","CORRENTINA","CORRENTINA","BA","Nordeste","Operante",-13.33249999,-44.61749999,551.71
"A724","CORUMBA","CORUMBA","MS","Centro-oeste","Operante",-18.99666666,-57.63749999,111.73
"A355","CORURIPE","CORURIPE","AL","Nordeste","Operante",-10.1286111,-36.28638888,82.39
"A760","COSTA RICA","COSTA RICA","MS","Centro-oeste","Operante",-18.49277777,-53.17138888,727.34
"A919","COTRIGUACU","COTRIGUACU","MT","Centro-oeste","Operante",-9.90638888,-58.57222221,265
"A720","COXIM","COXIM","MS","Centro-oeste","Operante",-18.51222222,-54.7361111,251.48
"A342","CRATEUS","CRATEUS","CE","Nordeste","Operante",-5.18666666,-40.67222221,298.19
"A036","CRISTALINA","CRISTALINA","GO","Centro-oeste","Operante",-16.78499999,-47.61305555,1211.08
"A056","CRISTALINA (FAZENDA SANTA MONICA)","CRISTALINA","GO","Centro-oeste","Operante",-16.39944444,-47.62583332,932
"A853","CRUZ ALTA","CRUZ ALTA","RS","Sul","Operante",-28.60344,-53.673597,426.69
"A406","CRUZ DAS ALMAS","CRUZ DAS ALMAS","BA","Nordeste","Operante",-12.67555554,-39.08944444,219.76
"A108","CRUZEIRO DO SUL","CRUZEIRO DO SUL","AC","Norte","Pane",-7.61055555,-72.6811111,220
"A901","CUIABA","CUIABA","MT","Centro-oeste","Operante",-15.60694444,-56.06083333,184
"A448","CURACA","CURACA","BA","Nordeste","Pane",-9.00138888,-39.9125,370
"A807","CURITIBA","CURITIBA","PR","Sul","Operante",-25.4486111,-49.23055554,922.91
"A860","CURITIBANOS","CURITIBANOS","SC","Sul","Operante",-27.2886111,-50.60416666,978.1
"A538","CURVELO","CURVELO","MG","Sudeste","Operante",-18.74777777,-44.45388888,669.48
"A443","DELFINO","DELFINO","BA","Nordeste","Operante",-10.455,-41.20694444,646.24
"A849","DIAMANTE DO NORTE","DIAMANTE DO NORTE","PR","Sul","Operante",-22.63944444,-52.89027777,368.22
"A537","DIAMANTINA","DIAMANTINA","MG","Sudeste","Operante",-18.231052,-43.648269,1359.25
"A038","DIANOPOLIS","DIANOPOLIS","TO","Norte","Operante",-11.59444444,-46.84722221,727.87
"A848","DIONISIO CERQUEIRA","DIONISIO CERQUEIRA","SC","Sul","Operante",-26.286562,-53.633114,807.54
"A564","DIVINOPOLIS","DIVINOPOLIS","MG","Sudeste","Operante",-20.17333332,-44.87499999,796
"A843","DOIS VIZINHOS","DOIS VIZINHOS","PR","Sul","Operante",-25.69916666,-53.09527777,545.95
"A252","DOM ELISEU","DOM ELISEU","PA","Norte","Operante",-4.28055554,-47.56388888,251
"A881","DOM PEDRITO","DOM PEDRITO","RS","Sul","Operante",-31.0025,-54.61805554,150
"A536","DORES DO INDAIA","DORES DO INDAIA","MG","Sudeste","Operante",-19.48194443,-45.59388888,721.09
"A721","DOURADOS","DOURADOS","MS","Centro-oeste","Operante",-22.19388888,-54.91138888,463.3
"A762","DRACENA","DRACENA","SP","Sudeste","Operante",-21.45777777,-51.55222222,383
"A603","DUQUE DE CAXIAS - XEREM"," XEREM","RJ","Sudeste","Operante",-22.58972221,-43.28222221,22
"A631","ECOPORANGA","ECOPORANGA","ES","Sudeste","Operante",-18.29138888,-40.73638888,224
"A029","EDEIA","EDEIA","GO","Centro-oeste","Operante",-17.33694444,-49.91472222,608
"A109","EIRUNEPE","EIRUNEPE","AM","Norte","Pane",-6.65027777,-69.8686111,121.54
"A893","ENCRUZILHADA DO SUL","ENCRUZILHADA DO SUL","RS","Sul","Operante",-30.54305555,-52.52472221,427.75
"A140","EPITACIOLANDIA","EPITACIOLANDIA","AC","Norte","Operante",-11.02388888,-68.73527777,224.5
"A828","ERECHIM","ERECHIM","RS","Sul","Operante",-27.65777777,-52.30583333,777.08
"A543","ESPINOSA","ESPINOSA","MG","Sudeste","Operante",-14.91222222,-42.80861111,565.36
"A224","ESTREITO","ESTREITO","MA","Nordeste","Operante",-6.65333333,-47.41833332,182.96
"A442","EUCLIDES DA CUNHA","EUCLIDES DA CUNHA","BA","Nordeste","Operante",-10.53722221,-38.99666666,431.96
"A217","FAROL de SANTANA","FAROL de SANTANA","MA","Nordeste","Pane",-2.27083332,-43.62416666,9.87
"A138","FEIJO","FEIJO","AC","Norte","Operante",-8.14277777,-70.3436111,157.17
"A413","FEIRA DE SANTANA","FEIRA DE SANTANA","BA","Nordeste","Operante",-12.1961111,-38.96749999,229.64
"A351","FLORESTA","FLORESTA","PE","Nordeste","Operante",-8.59888888,-38.58416666,327.42
"A535","FLORESTAL","FLORESTAL","MG","Sudeste","Pane",-19.88527777,-44.41694443,753.5
"A311","FLORIANO","FLORIANO","PI","Nordeste","Pane",-6.76138888,-43.00333333,126.39
"A806","FLORIANOPOLIS","FLORIANOPOLIS","SC","Sul","Operante",-27.6025,-48.61999999,4.87
"A524","FORMIGA","FORMIGA","MG","Sudeste","Operante",-20.455,-45.45388888,878.14
"A452","FORMOSA DO RIO PRETO","FORMOSA DO RIO PRETO","BA","Nordeste","Operante",-11.05222222,-45.20083333,488
"A039","FORMOSO DO ARAGUAIA","FORMOSO DO ARAGUAIA","TO","Norte","Operante",-11.88749999,-49.60833333,215.2
"A305","FORTALEZA","FORTALEZA","CE","Nordeste","Pane",-3.81583333,-38.53777777,29.55
"A846","FOZ DO IGUACU","FOZ DO IGUACU","PR","Sul","Operante",-25.60194444,-54.48305554,235.09
"A708","FRANCA","FRANCA","SP","Sudeste","Pane",-20.58444444,-47.38249999,1002.74
"A854","FREDERICO WESTPHALEN","FREDERICO WESTPHALEN","RS","Sul","Operante",-27.39555555,-53.42944443,489.42
"A046","GAMA (PONTE ALTA)","GAMA","DF","Centro-oeste","Operante",-15.93527777,-48.13749999,990
"A322","GARANHUNS","GARANHUNS","PE","Nordeste","Operante",-8.91083333,-36.49333333,827.78
"A930","GAUCHA DO NORTE","GAUCHA DO NORTE","MT","Centro-oeste","Pane",-13.18472221,-53.2575,375.87
"A875","GENERAL CARNEIRO","GENERAL CARNEIRO","PR","Sul","Operante",-26.3986111,-51.35361111,1009.01
"A364","GILBUES","GILBUES","PI","Nordeste","Operante",-9.87527777,-45.34583333,425.1
"A022","GOIANESIA","GOIANESIA","GO","Centro-oeste","Operante",-15.22027777,-48.98999999,667.01
"A002","GOIANIA","GOIANIA","GO","Centro-oeste","Operante",-16.64277777,-49.22027777,727.3
"A014","GOIAS","GOIAS","GO","Centro-oeste","Operante",-15.93972221,-50.14138888,512.86
"A825","GOIOERE","GOIOERE","PR","Sul","Operante",-24.18388888,-53.04888888,481
"A532","GOVERNADOR VALADARES","GOVERNADOR VALADARES","MG","Sudeste","Operante",-18.830354,-41.977007,198.24
"A207","GRAJAU","GRAJAU","MA","Nordeste","Operante",-5.81611111,-46.16222222,232.29
"A426","GUANAMBI","GUANAMBI","BA","Nordeste","Operante",-14.20805555,-42.74972221,552.23
"A533","GUANHAES","GUANHAES","MG","Sudeste","Operante",-18.78694444,-42.94305555,852.68
"A314","GUARAMIRANGA","GUARAMIRANGA","CE","Nordeste","Pane",-4.22916666,-38.95888888,865.53
"A906","GUARANTA DO NORTE","GUARANTA DO NORTE","MT","Centro-oeste","Operante",-9.9525,-54.89777777,283.58
"A546","GUARDA-MOR","MOR","MG","Sudeste","Operante",-17.56138888,-47.19916666,997.01
"A932","GUIRATINGA","GUIRATINGA","MT","Centro-oeste","Pane",-16.34166666,-53.76611111,525.43
"A019","GURUPI","GURUPI","TO","Norte","Operante",-11.74499999,-49.05166666,274
"A112","HUMAITA","HUMAITA","AM","Norte","Operante",-7.5525,-63.07138888,53.56
"A349","IBIMIRIM","IBIMIRIM","PE","Nordeste","Pane",-8.50944444,-37.71166666,434.23
"A555","IBIRITE (ROLA MOCA)","IBIRITE","MG","Sudeste","Operante",-20.03138888,-44.01111111,1198.82
"A883","IBIRUBA","IBIRUBA","RS","Sul","Operante",-28.65333333,-53.11194444,455.27
"A737","IBITINGA","IBITINGA","SP","Sudeste","Pane",-21.85555555,-48.79972221,496.75
"A439","IBOTIRAMA","IBOTIRAMA","BA","Nordeste","Operante",-12.19305555,-43.21333333,425.12
"A824","ICARAIMA","ICARAIMA","PR","Sul","Pane",-23.39027777,-53.63583333,381.29
"A712","IGUAPE","IGUAPE","SP","Sudeste","Operante",-24.67166666,-47.54583333,2.7
"A319","IGUATU","IGUATU","CE","Nordeste","Pane",-6.39638888,-39.26888888,221.56
"A410","ILHEUS","ILHEUS","BA","Nordeste","Operante",-14.65888888,-39.18138888,80.21
"A225","IMPERATRIZ","IMPERATRIZ","MA","Nordeste","Operante",-5.55583333,-47.45972222,117.96
"A823","INACIO MARTINS","INACIO MARTINS","PR","Sul","Operante",-25.567879,-51.077946,1208.85
"A817","INDAIAL","INDAIAL","SC","Sul","Operante",-26.91361111,-49.26805554,72.24
"A372","IPANGUACU","IPANGUACU","RN","Nordeste","Operante",-5.53499999,-36.87222221,19
"A713","IPERO","IPERO","SP","Sudeste","Operante",-23.4261111,-47.58555555,609.33
"A445","IPIAU","IPIAU","BA","Nordeste","Operante",-14.17138888,-39.69249999,132.11
