"estacao","estacao.nome","cidade","estado","regiao","situacao","latitude","longitude","altitude"
"A327","PALMEIRA DOS INDIOS","PALMEIRA DOS INDIOS","AL","Nordeste","Operante",-9.42027777,-36.62027777,278.01
"A323","PAO DE ACUCAR","PAO DE ACUCAR","AL","Nordeste","Operante",-9.74916666,-37.43083332,20.83
"A571","PARACATU","PARACATU","MG","Sudeste","Operante",-17.24444444,-46.88166666,705
"A212","PARAGOMINAS","PARAGOMINAS","PA","Norte","Operante",-2.90055555,-47.49499999,88
"A010","PARANA","PARANA","TO","Norte","Operante",-12.615,-47.87194443,284.96
"A710","PARANAIBA","PARANAIBA","MS","Centro-oeste","Operante",-19.69555555,-51.18166666,408.06
"A850","PARANAPOEMA","PARANAPOEMA","PR","Sul","Operante",-22.65833333,-52.13444444,308.7
"A915","PARANATINGA","PARANATINGA","MT","Centro-oeste","Operante",-14.42138888,-54.0361111,476.91
"A047","PARANOA (COOPA-DF)","PARANOA","DF","Centro-oeste","Operante",-16.012222,-47.557417,1043
"A619","PARATY","PARATY","RJ","Sudeste","Operante",-23.2236111,-44.72694443,3
"A027","PARAUNA","PARAUNA","GO","Centro-oeste","Operante",-16.9625,-50.42555554,678.74
"A123","PARINTINS","PARINTINS","AM","Norte","Operante",-2.63916666,-56.75611111,18.72
"A308","PARNAIBA","PARNAIBA","PI","Nordeste","Operante",-3.08666666,-41.78305554,52.11
"A102","PARQUE ESTADUAL CHANDLESS","PARQUE ESTADUAL CHANDLESS","AC","Norte","Pane",-9.35833333,-69.92638888,184.51
"A529","PASSA QUATRO","PASSA QUATRO","MG","Sudeste","Operante",-22.39583333,-44.96194444,1017.1
"A839","PASSO FUNDO","PASSO FUNDO","RS","Sul","Operante",-28.22666666,-52.40361111,680.67
"A516","PASSOS","PASSOS","MG","Sudeste","Operante",-20.745237,-46.633916,781.7
"A321","PATOS","PATOS","PB","Nordeste","Operante",-7.07972221,-37.27277777,263.66
"A562","PATOS DE MINAS","PATOS DE MINAS","MG","Sudeste","Operante",-18.52055554,-46.44055555,950
"A523","PATROCINIO","PATROCINIO","MG","Sudeste","Pane",-18.99666666,-46.98583333,978.11
"A330","PAULISTANA","PAULISTANA","PI","Nordeste","Operante",-8.132288,-41.142945,376
"A020","PEDRO AFONSO","PEDRO AFONSO","TO","Norte","Operante",-8.9686111,-48.17722221,189.71
"A018","PEIXE","PEIXE","TO","Norte","Operante",-12.01527777,-48.54444444,250.87
"A307","PETROLINA","PETROLINA","PE","Nordeste","Pane",-9.38833333,-40.52333332,372.72
"A430","PIATA","PIATA","BA","Nordeste","Operante",-13.155681,-41.774125,1283.95
"A610","PICO DO COUTO","PICO DO COUTO","RJ","Sudeste","Operante",-22.46472222,-43.29138888,1777
"A343","PICOS","PICOS","PI","Nordeste","Operante",-7.0711111,-41.40416666,232.91
"A726","PIRACICABA","PIRACICABA","SP","Sudeste","Operante",-22.70305555,-47.62333332,566.46
"A371","PIRANHAS","PIRANHAS","AL","Nordeste","Operante",-9.62222221,-37.76722221,187
"A545","PIRAPORA","PIRAPORA","MG","Sudeste","Operante",-17.258064,-44.835556,505.32
"A033","PIRES DO RIO","PIRES DO RIO","GO","Centro-oeste","Operante",-17.30416666,-48.28416666,757.27
"A335","PIRIPIRI","PIRIPIRI","PI","Nordeste","Operante",-4.2761111,-41.79444444,157.89
"A051","PIUM","PIUM","TO","Norte","Pane",-10.47694443,-49.62944443,161
"A211","PLACAS","PLACAS","PA","Norte","Operante",-3.86416666,-54.21638888,100.45
"A855","PLANALTO","PLANALTO","PR","Sul","Operante",-25.72194443,-53.74805555,399.1
"A419","POCO VERDE","POCO VERDE","SE","Nordeste","Pane",-10.73805555,-38.10833333,367.01
"A560","POMPEU","POMPEU","MG","Sudeste","Operante",-19.23249999,-44.96416666,705
"A703","PONTA PORA","PONTA PORA","MS","Centro-oeste","Operante",-22.5525,-55.71638888,668
"A937","PONTES E LACERDA","PONTES E LACERDA","MT","Centro-oeste","Pane",-15.23444444,-59.3461111,272.53
"A005","PORANGATU","PORANGATU","GO","Centro-oeste","Operante",-13.30944444,-49.11749999,365
"A801","PORTO ALEGRE - JARDIM BOTANICO"," JARDIM BOTANICO","RS","Sul","Operante",-30.05361111,-51.17472221,41.18
"B807","PORTO ALEGRE- BELEM NOVO"," BELEM NOVO","RS","Sul","Operante",-30.1861111,-51.17805554,3.3
"A245","PORTO DE MOZ","PORTO DE MOZ","PA","Norte","Operante",-1.82194443,-52.11166666,19
"A935","PORTO ESTRELA","PORTO ESTRELA","MT","Centro-oeste","Pane",-15.32472221,-57.22583332,147.75
"A244","PORTO GRANDE","PORTO GRANDE","AP","Norte","Operante",0.69416666,-51.40388888,84.8
"A723","PORTO MURTINHO","PORTO MURTINHO","MS","Centro-oeste","Operante",-21.70583333,-57.88666666,78.56
"A427","PORTO SEGURO","PORTO SEGURO","BA","Nordeste","Pane",-16.38888888,-39.18249999,86.36
"A925","PORTO VELHO","PORTO VELHO","RO","Norte","Operante",-8.7936111,-63.84583333,86.7
"A136","PORTO WALTER","PORTO WALTER","AC","Norte","Pane",-8.26722221,-72.74777777,205.35
"A017","POSSE","POSSE","GO","Centro-oeste","Operante",-14.08916666,-46.36638888,830
